STT	Phân hệ	Chi tiết chức năng
1	Khởi tạo hệ thống	Seed Data Initializer — Khởi tạo đầy đủ 6 tài khoản mẫu, 4 tòa nhà, 108 phòng CAD, kho thiết bị QR, cấu hình SLA, học kỳ mẫu
2	Xác thực & Hồ sơ cá nhân	UC-1.1: Login — Đăng nhập bằng email/MSSV + password; cấp JWT Access Token (15p) + Refresh Token (7 ngày); ghi log IP & time
3	Xác thực & Hồ sơ cá nhân	UC-1.2: Logout — Hủy token hiện tại, xóa JWT tại client, đưa token vào blacklist; hỗ trợ logout all devices
4	Xác thực & Hồ sơ cá nhân	UC-1.3: Forgot Password — Nhập email, gửi OTP 6 số qua email (TTL 15 phút); giới hạn 3 lần/giờ chống spam
5	Xác thực & Hồ sơ cá nhân	UC-1.4: Change Password — Nhập pass cũ + mới; validate >= 8 ký tự, hoa, thường, số, ký tự đặc biệt; hủy các session khác
6	Xác thực & Hồ sơ cá nhân	UC-1.5: Profile View — Hiển thị họ tên, MSSV/mã CB, email, khoa, lớp, SĐT, avatar, điểm uy tín mượn phòng (reputeScore)
7	Xác thực & Hồ sơ cá nhân	UC-1.6: Update Profile — Cho phép sửa SĐT, avatar URL; khóa cứng MSSV, email trường, khoa (Admin mới sửa được)
8	Quản lý Không gian & CAD	UC-3.1: Create Room — Nhập mã phòng (unique), tên, tòa nhà, tầng, sức chứa > 0, loại phòng, danh sách thiết bị, upload ảnh
9	Quản lý Không gian & CAD	UC-3.2: Room List View — Danh sách phòng kèm bộ lọc: tòa nhà, tầng, loại phòng, trạng thái, khoảng sức chứa; search tên/mã
10	Quản lý Không gian & CAD	UC-3.3: Room Detail View — Toàn bộ thông số kỹ thuật, danh sách thiết bị cố định kèm serial, lịch sử mượn, lịch bảo trì, tỷ lệ sử dụng
11	Quản lý Không gian & CAD	UC-3.4: Update Room Info — Sửa tên, loại, sức chứa; cảnh báo nếu sức chứa mới thấp hơn đơn mượn tương lai đã duyệt
12	Quản lý Không gian & CAD	UC-3.5: Deactivate Room — Không xóa cứng bản ghi; chuyển status = INACTIVE; yêu cầu hủy/chuyển lịch các đơn mượn tương lai trước
13	Quản lý Không gian & CAD	UC-3.6: Update Room Status — Chuyển đổi AVAILABLE <-> MAINTENANCE <-> INACTIVE; tự động thông báo cho người có lịch bị ảnh hưởng
