RUO (UFMS) — MASTER TASK MATRIX														
University Facilities Management System — Agile/Scrum Breakdown			TIẾN ĐỘ HOÀN THÀNH			ĐỘ ƯU TIÊN (MUST / SHOULD)			PHÂN PHỐI ROLE PHỤ TRÁCH			NHÂN SỰ THỰC HIỆN (SIGN)		
TỔNG CÔNG VIỆC: 103 NGHIỆP VỤ			0 / 103 (0%)			Must: 72 | Should: 30 | Could: 1			FE/BE: 89 | BE: 10 | FE: 4			Hoàng (26) • Tùng (20) • Quang (26) • Uyên (16) • Nguyên (15)		
Epic	Phase	Feature	User Story	Actor	Sign	Priority	In Progress	Status 2	Owner	Estimation	Dependency	Acceptance Criteria	API/DB Notes	Review Notes
System Bootstrap	Phase 0	Seed Data Initializer	As system, I want to initialize real university master data	System	Hoàng	Must	In Progress		BE	M	none	Khởi tạo đầy đủ 6 tài khoản mẫu, 4 tòa nhà, 108 phòng CAD, kho thiết bị QR, cấu hình SLA, học kỳ mẫu	npm run seed / seedDatabase.js	MongoDB users, rooms, equipments
Authentication	Phase 1	UC-1.1: Login	As a user, I want to login so that I can access the system	Student, Lecturer, Staff, Admin	Hoàng	Must	In Progress		FE/BE	M	none	Đăng nhập bằng email/MSSV + password; cấp JWT Access Token (15p) + Refresh Token (7 ngày); ghi log IP & time	POST /api/auth/login	Collection users, user_sessions
Authentication	Phase 1	UC-1.2: Logout	As a user, I want to logout so that my session ends	Student, Lecturer, Staff, Admin	Hoàng	Must	In Progress		FE/BE	S	UC-1.1	Hủy token hiện tại, xóa JWT tại client, đưa token vào blacklist; hỗ trợ logout all devices	POST /api/auth/logout	Token blacklist
Authentication	Phase 1	UC-1.3: Forgot Password	As a user, I want to reset my password via email	Student, Lecturer, Staff	Hoàng	Should	In Progress		FE/BE	M	none	Nhập email, gửi OTP 6 số qua email (TTL 15 phút); giới hạn 3 lần/giờ chống spam	POST /api/auth/forgot-password	Nodemailer / Mail Queue
Authentication	Phase 1	UC-1.4: Change Password	As a user, I want to change password to keep account secure	Student, Lecturer, Staff, Admin	Hoàng	Must	In Progress		FE/BE	S	UC-1.1	Nhập pass cũ + mới; validate >= 8 ký tự, hoa, thường, số, ký tự đặc biệt; hủy các session khác	POST /api/auth/change-password	BCrypt hash
Authentication	Phase 1	UC-1.5: Profile View	As a user, I want to view my profile & repute score	Student, Lecturer, Staff, Admin	Hoàng	Must	In Progress		FE/BE	S	UC-1.1	Hiển thị họ tên, MSSV/mã CB, email, khoa, lớp, SĐT, avatar, điểm uy tín mượn phòng (reputeScore)	GET /api/auth/me	ReputeScore 0-100
Authentication	Phase 1	UC-1.6: Update Profile	As a user, I want to update contact info	Student, Lecturer, Staff	Hoàng	Should	In Progress		FE/BE	S	UC-1.5	Cho phép sửa SĐT, avatar URL; khóa cứng MSSV, email trường, khoa (Admin mới sửa được)	PUT /api/auth/me	Validation phone/avatar
Room & Facility	Phase 1	UC-3.1: Create Room	As facility staff, I want to add new room to system	Facility Staff, Admin	Tùng	Must	In Progress		FE/BE	M	none	Nhập mã phòng (unique), tên, tòa nhà, tầng, sức chứa > 0, loại phòng, danh sách thiết bị, upload ảnh	POST /api/facilities/rooms	Collection rooms
Room & Facility	Phase 1	UC-3.2: Room List View	As facility staff, I want to browse room directory	Facility Staff, Admin	Tùng	Must	In Progress		FE/BE	M	none	Danh sách phòng kèm bộ lọc: tòa nhà, tầng, loại phòng, trạng thái, khoảng sức chứa; search tên/mã	GET /api/facilities/rooms	Indexes: (building, floorNumber)
Room & Facility	Phase 1	UC-3.3: Room Detail View	As facility staff, I want to see full room telemetry	Facility Staff, Admin	Tùng	Must	In Progress		FE/BE	M	UC-3.2	Toàn bộ thông số kỹ thuật, danh sách thiết bị cố định kèm serial, lịch sử mượn, lịch bảo trì, tỷ lệ sử dụng	GET /api/facilities/rooms/:code	Populated refs
Room & Facility	Phase 1	UC-3.4: Update Room Info	As facility staff, I want to update room specifications	Facility Staff, Admin	Tùng	Must	In Progress		FE/BE	M	UC-3.2	Sửa tên, loại, sức chứa; cảnh báo nếu sức chứa mới thấp hơn đơn mượn tương lai đã duyệt	PUT /api/facilities/rooms/:id	Pre-update hook
Room & Facility	Phase 1	UC-3.5: Deactivate Room	As facility staff, I want to deactivate unused room	Facility Staff, Admin	Tùng	Should	In Progress		FE/BE	S	UC-3.2	Không xóa cứng bản ghi; chuyển status = INACTIVE; yêu cầu hủy/chuyển lịch các đơn mượn tương lai trước	PUT /api/facilities/rooms/:id/deactivate	Soft status change
Room & Facility	Phase 1	UC-3.6: Update Room Status	As facility staff, I want to toggle maintenance status	Facility Staff, Admin	Tùng	Must	In Progress		FE/BE	M	UC-3.2	Chuyển đổi AVAILABLE <-> MAINTENANCE <-> INACTIVE; tự động thông báo cho người có lịch bị ảnh hưởng	PUT /api/facilities/rooms/:id/status	Event notification
Spatial CAD Twin	Phase 1	UC-1.8: Room CAD Card	As a user, I want to see room details on CAD map	Student, Lecturer, Staff	Tùng	Must	In Progress		FE	M	none	Hiển thị mã phòng, tên, loại phòng, sức chứa, nhiệt độ IoT, công suất điện (kW), trạng thái thời gian thực	React Spatial CAD Component	Pure SVG Blueprint
Spatial CAD Twin	Phase 1	UC-1.9: Calendar Grid View	As a user, I want to view visual room calendar	Student, Lecturer, Staff	Tùng	Must	In Progress		FE	M	none	Grid tuần/tháng phân biệt 4 mã màu: Xanh (Chính khóa), Cam (Đã duyệt), Đỏ (Bảo trì), Trắng (Trống)	Calendar Grid Component	Color-coded status
Spatial CAD Twin	Phase 1	CAD Mặt Bằng Tầng 2.5D	As a user, I want to view 2.5D floor plan with rooms	Student, Lecturer, Staff	Tùng	Must	In Progress		FE/BE	L	none	Hiển thị 6 pods phòng học mặt bằng Tầng 3 Tòa A1, hành lang trung tâm, time-travel scrubber (07:00-21:00)	GET /api/facilities/cad-canvas	Real-time occupancy
Equipment Inventory	Phase 2	UC-3.7: Create Equipment	As facility staff, I want to add new equipment item	Facility Staff, Admin	Nguyên	Must	In Progress		FE/BE	M	none	Nhập mã tài sản (unique), mã QR bất biến, serial, tên, loại, hãng, nguyên giá, ngày mua, hạn BH, vị trí	POST /api/equipments	Collection equipments
Equipment Inventory	Phase 2	UC-3.8: Equipment Directory	As facility staff, I want to filter and search assets	Facility Staff, Admin	Nguyên	Must	In Progress		FE/BE	M	none	Lọc theo chủng loại, trạng thái (AVAILABLE/BORROWED/MAINTENANCE/DISPOSED), vị trí, khoảng giá trị	GET /api/equipments	Pagination + Search
Equipment Inventory	Phase 2	UC-3.9: Equipment Detail	As facility staff, I want to inspect asset life-cycle	Facility Staff, Admin	Nguyên	Must	In Progress		FE/BE	M	UC-3.8	Thông số kỹ thuật, lịch sử điều chuyển vị trí, lịch sử sửa chữa, người đang mượn, tỷ lệ khấu hao	GET /api/equipments/:id	Asset life-cycle
Equipment Inventory	Phase 2	UC-3.10: Update Asset Info	As facility staff, I want to update asset specs	Facility Staff, Admin	Nguyên	Should	In Progress		FE/BE	S	UC-3.8	Cập nhật thông số kỹ thuật; nếu đổi vị trí phòng thì tự động ghi nhật ký điều chuyển (Movement Log)	PUT /api/equipments/:id	Movement tracking
Equipment Inventory	Phase 2	UC-3.11: Asset Disposal Decision	As facility staff, I want to record asset disposal decision	Facility Staff, Admin	Nguyên	Should	In Progress		FE/BE	M	UC-3.9	Chuyển trạng thái DISPOSED; ghi nhận số quyết định thanh lý, lý do, ngày hoàn tất, giá trị thu hồi; cấm thanh lý máy đang BORROWED	PUT /api/equipments/:id/dispose	Asset retirement
Equipment Inventory	Phase 2	UC-3.12: Inventory Audit	As facility staff, I want to conduct QR stocktaking	Facility Staff	Nguyên	Must	In Progress		FE/BE	L	none	Khởi tạo đợt kiểm kê theo phòng/tòa nhà; quét QR đối soát thực tế: Khớp, Thất lạc, Hỏng, Sai vị trí; xuất PDF	POST /api/equipments/inventory	QR reconciliation
Equipment Inventory	Phase 2	UC-3.13: Assign to Room	As facility staff, I want to assign asset to a room	Facility Staff	Nguyên	Should	In Progress		FE/BE	S	UC-3.8	Chuyển thiết bị từ kho vào phòng học hoặc giữa các phòng; kiểm tra thiết bị ở trạng thái AVAILABLE	PUT /api/equipments/:id/assign-room	Room assignment
Equipment Inventory	Phase 2	UC-2.4: Search Mobile Gear	As a lecturer, I want to search available portable gear	Lecturer	Nguyên	Must	In Progress		FE/BE	M	none	Tìm máy chiếu cơ động, laptop, mic không dây, thiết bị đo kiểm; lọc theo khung ngày mượn	GET /api/equipments/portable	Availability filter
Equipment Inventory	Phase 2	QR Code Generator & Scan	As a user, I want to scan equipment QR code	All Actors	Nguyên	Must	In Progress		FE/BE	M	none	Quét mã QR ra thông tin tài sản, vị trí, nguyên giá, tra cứu nhanh lịch sử sửa chữa	GET /api/equipments/qr/:qrCode	QR lookup sub-second
Booking Engine	Phase 3	UC-1.7: Smart Room Search	As a user, I want to find available rooms by criteria	Student, Lecturer	Tùng	Must	In Progress		FE/BE	M	none	Lọc ngày, giờ, sức chứa, loại phòng, tòa nhà; tự động loại trừ phòng có lớp chính khóa/đã đặt/bảo trì	GET /api/facilities/rooms/search	Optimistic query
Booking Engine	Phase 3	UC-1.10: Single Room Booking	As a student, I want to book a room for study	Student	Tùng	Must	In Progress		FE/BE	L	UC-1.7	Chọn phòng, ngày, giờ, mục đích, số người; check trùng giờ nguyên tử (409 Conflict); giới hạn 2 phòng/ngày	POST /api/bookings	Double-booking lock
Booking Engine	Phase 3	UC-1.11: Edit Booking Request	As a student, I want to modify my pending booking	Student	Tùng	Should	In Progress		FE/BE	M	UC-1.10	Chỉ sửa khi PENDING hoặc APPROVED (còn >24h); re-validate trùng lịch; nếu Approved thì chuyển về Pending	PUT /api/bookings/:id	Re-validation
Booking Engine	Phase 3	UC-1.12: Cancel Booking	As a student, I want to cancel my booking	Student	Tùng	Must	In Progress		FE/BE	M	UC-1.10	Hủy đơn; nếu hủy khi đã Approved trong < 2h trước giờ dùng thì ghi nhận vi phạm "Late Cancellation"	DELETE /api/bookings/:id	Late cancel flag
Booking Engine	Phase 3	UC-1.13: Booking History	As a user, I want to view my booking history	Student, Lecturer	Tùng	Must	In Progress		FE/BE	S	UC-1.10	Danh sách booking cá nhân; filter: pending, approved, rejected, completed, no_show; phân trang	GET /api/bookings/my	User history
Booking Engine	Phase 3	UC-1.14: QR Room Check-in	As a user, I want to check in via QR at room door	Student, Lecturer	Tùng	Must	In Progress		FE/BE	L	UC-1.10	Quét mã QR trước cửa phòng trong 15 phút đầu; nếu quá 15 phút tự động hủy NO_SHOW và trừ 10 điểm uy tín	POST /api/bookings/check-in	15m Grace Period
Booking Engine	Phase 3	Background No-Show Sweeper	As system, I want to sweep expired check-in slots	System	Tùng	Must	In Progress		BE	M	UC-1.14	Cron-job chạy mỗi 60s; tìm booking quá hạn 15m; đổi status sang no_show, giải phóng phòng, phạt repute	sweepExpiredCheckIns()	Background worker
Booking Engine	Phase 3	UC-2.1: Booking Series	As a lecturer, I want to book recurring slots	Lecturer	Tùng	Must	In Progress		FE/BE	L	none	Chọn phòng, thứ, giờ, tần suất (tuần/2 tuần), từ tuần X đến Y; tự sinh instances, check conflict từng buổi	POST /api/bookings/series	RFC-5545 Series
Booking Engine	Phase 3	UC-2.2: Edit Booking Series	As a lecturer, I want to edit recurring series	Lecturer	Tùng	Must	In Progress		FE/BE	L	UC-2.1	Hỗ trợ 2 chế độ: (1) Sửa 1 buổi đơn lẻ (tạo booking_exception), (2) Sửa buổi này và các buổi sau	PUT /api/bookings/series/:id	Exception instance
Booking Engine	Phase 3	UC-2.3: Cancel Series	As a lecturer, I want to cancel recurring series	Lecturer	Tùng	Should	In Progress		FE/BE	M	UC-2.1	Hủy toàn bộ series hoặc 1 buổi lẻ; tự động giải phóng toàn bộ các slot phòng trong tương lai	DELETE /api/bookings/series/:id	Cascade release
Booking Engine	Phase 3	UC-2.0: Lecturer Overrides	As a lecturer, I have extended booking privileges	Lecturer	Tùng	Must	In Progress		BE	S	UC-1.10	Đặt tối đa 5 phòng/ngày (SV là 2); đặt trước 4 tuần (SV là 2); miễn phạt Late Cancel; check-in 30 phút	Role policy overrides	Lecturer policy
